word,valence,arousal,dominance,emotion,pos
dangerously,0.082,0.93,0.564,anger,ADV
lethal,0.156,0.8,0.745,anger,ADJ
sinister,0.125,0.896,0.581,anger,ADJ
shrill,0.312,0.721,0.64,anger,ADV
shockingly,0.51,0.924,0.721,anger,ADV
shocking,0.378,0.853,0.833,anger,ADJ
litigious,0.36,0.736,0.632,anger,ADJ
lurid,0.186,0.833,0.536,anger,ADJ
lustful,0.427,0.896,0.643,anger,ADJ
lusty,0.469,0.941,0.673,anger,ADJ
malevolent,0.094,0.854,0.613,anger,ADJ
malicious,0.177,0.765,0.607,anger,ADJ
severely,0.219,0.673,0.7,anger,ADV
ceaseless,0.378,0.704,0.658,anger,ADJ
severe,0.164,0.735,0.635,anger,ADJ
seismic,0.323,0.925,0.578,anger,ADJ
cocky,0.26,0.784,0.519,anger,ADJ
maniacal,0.2,0.848,0.5,anger,ADJ
drastic,0.194,0.839,0.657,anger,ADJ
dramatic,0.367,0.78,0.443,anger,ADJ
scary,0.062,0.952,0.528,anger,ADJ
scariest,0.167,0.863,0.538,anger,ADJ
scarier,0.156,0.846,0.472,anger,ADJ
scandalous,0.135,0.907,0.556,anger,ADJ
combative,0.381,0.69,0.816,anger,ADJ
combustible,0.386,0.65,0.75,anger,ADJ
satanic,0.062,0.843,0.72,anger,ADJ
mandatory,0.271,0.667,0.777,anger,ADJ
mercenary,0.245,0.837,0.673,anger,ADJ
catastrophic,0.071,0.934,0.598,anger,ADJ
cardiac,0.344,0.765,0.615,anger,ADV
territorial,0.405,0.6,0.766,anger,ADJ
terrible,0.061,0.849,0.604,anger,ADJ
temperamental,0.316,0.774,0.608,anger,ADJ
beastly,0.146,0.874,0.843,anger,ADV
excessively,0.449,0.882,0.716,anger,ADV
surgical,0.327,0.696,0.723,anger,ADJ
excessive,0.417,0.731,0.601,anger,ADJ
bestial,0.26,0.761,0.674,anger,ADJ
exaggerated,0.224,0.885,0.732,anger,ADJ
indomitable,0.458,0.8,0.83,anger,ADJ
industrial,0.469,0.6,0.875,anger,ADJ
blatant,0.327,0.677,0.675,anger,ADJ
laborious,0.393,0.635,0.709,anger,ADJ
strict,0.5,0.646,0.878,anger,ADJ
infernal,0.083,0.837,0.571,anger,ADJ
boastful,0.49,0.806,0.695,anger,ADJ
boisterous,0.385,0.806,0.565,anger,ADJ
bombardier,0.24,0.863,0.787,anger,ADV
bossy,0.24,0.824,0.75,anger,ADJ
delirious,0.219,0.774,0.538,anger,ADJ
inimical,0.26,0.823,0.556,anger,ADJ
intentionally,0.45,0.676,0.696,anger,ADV
brutal,0.122,0.882,0.643,anger,ADJ
brutish,0.27,0.837,0.588,anger,ADJ
eccentric,0.531,0.806,0.721,anger,ADJ
judicial,0.378,0.667,0.833,anger,ADJ
bloody,0.031,0.91,0.518,anger,ADJ
sadistic,0.031,0.906,0.618,anger,ADJ
competitive,0.447,0.718,0.908,anger,ADJ
merciless,0.062,0.88,0.634,anger,ADJ
dictatorial,0.204,0.77,0.84,anger,ADJ
ostentatious,0.479,0.794,0.648,anger,ADJ
psychotic,0.198,0.856,0.474,anger,ADJ
provocative,0.438,0.814,0.684,anger,ADJ
outlandish,0.448,0.737,0.657,anger,ADJ
dangerous,0.02,0.941,0.658,anger,ADJ
frantically,0.375,0.898,0.735,anger,ADV
outrageous,0.153,0.945,0.713,anger,ADJ
devilish,0.073,0.865,0.49,anger,ADJ
destructive,0.177,0.87,0.713,anger,ADJ
deadly,0.143,0.849,0.554,anger,ADJ
deathly,0.073,0.771,0.682,anger,ADV
pungent,0.347,0.755,0.535,anger,ADJ
despotic,0.141,0.824,0.592,anger,ADJ
overwhelming,0.327,0.83,0.64,anger,ADJ
preposterous,0.167,0.827,0.483,anger,ADJ
overzealous,0.427,0.804,0.703,anger,ADJ
pornographic,0.23,0.896,0.5,anger,ADJ
political,0.347,0.73,0.875,anger,ADJ
polemic,0.133,0.75,0.652,anger,ADJ
defiant,0.25,0.792,0.769,anger,ADJ
poisonous,0.102,0.87,0.533,anger,ADJ
pointedly,0.408,0.706,0.569,anger,ADV
picky,0.257,0.729,0.598,anger,ADJ
demonic,0.146,0.875,0.6,anger,ADJ
delinquent,0.051,0.904,0.5,anger,ADJ
overprotective,0.448,0.673,0.741,anger,ADJ
offensive,0.135,0.882,0.6,anger,ADJ
obsessive,0.219,0.823,0.48,anger,ADJ
radical,0.5,0.792,0.811,anger,ADJ
compulsive,0.347,0.871,0.573,anger,ADJ
dominant,0.406,0.854,0.893,anger,ADJ
ruthless,0.208,0.85,0.67,anger,ADJ
mischievous,0.439,0.804,0.472,anger,ADJ
monstrous,0.094,0.942,0.649,anger,ADJ
moody,0.245,0.811,0.595,anger,ADJ
murderous,0.017,0.94,0.682,anger,ADJ
rowdy,0.255,0.9,0.518,anger,ADJ
controversial,0.271,0.858,0.538,anger,ADJ
rough,0.406,0.794,0.632,anger,ADJ
risky,0.224,0.922,0.7,anger,ADJ
riotous,0.163,0.837,0.588,anger,ADJ
coral snake,0.276,0.712,0.607,anger,ADJ
rigorous,0.438,0.818,0.847,anger,ADJ
correctional,0.292,0.713,0.602,anger,ADJ
disruptive,0.255,0.755,0.575,anger,ADJ
narcissistic,0.323,0.708,0.655,anger,ADJ
covet,0.302,0.779,0.524,anger,ADJ
relentless,0.333,0.713,0.904,anger,ADJ
regimental,0.292,0.637,0.817,anger,ADJ
noisy,0.271,0.812,0.561,anger,ADV
nuclear,0.219,0.856,0.781,anger,ADJ
rebellious,0.344,0.88,0.663,anger,ADJ
reactive,0.434,0.817,0.721,anger,ADJ
critical,0.312,0.802,0.545,anger,ADJ
raucous,0.316,0.74,0.538,anger,ADJ
radioactive,0.19,0.798,0.741,anger,ADJ
barbaric,0.235,0.798,0.738,anger,ADJ
barbarian,0.323,0.896,0.713,anger,ADJ
perilous,0.143,0.862,0.575,anger,ADJ
fierce,0.281,0.877,0.759,anger,ADJ
violent,0.112,0.918,0.616,anger,ADJ
untamed,0.429,0.778,0.709,anger,ADJ
agressive,0.083,0.918,0.751,anger,ADJ
angry,0.122,0.83,0.604,anger,ADJ
heavy metal,0.417,0.755,0.621,anger,ADJ
badass,0.255,0.775,0.745,anger,ADJ
violently,0.12,0.97,0.527,anger,ADV
hellish,0.125,0.86,0.545,anger,ADJ
flush,0.408,0.755,0.589,anger,ADJ
tyrannical,0.167,0.86,0.731,anger,ADJ
imminent,0.49,0.784,0.643,anger,ADJ
volcanic,0.344,0.91,0.781,anger,ADJ
voracious,0.385,0.892,0.694,anger,ADJ
fearsome,0.115,0.9,0.586,anger,ADJ
turbulent,0.302,0.792,0.612,anger,ADJ
giddy,0.438,0.847,0.611,anger,ADJ
volatile,0.323,0.786,0.565,anger,ADJ
homicidal,0.02,0.912,0.573,anger,ADJ
grumpy,0.198,0.808,0.559,anger,ADJ
hyperactive,0.5,0.921,0.66,anger,ADJ
vengeful,0.15,0.84,0.561,anger,ADJ
hierarchical,0.521,0.62,0.939,anger,ADJ
venomous,0.159,0.841,0.636,anger,ADJ
uncontrollable,0.265,0.79,0.626,anger,ADJ
arbitrary,0.281,0.702,0.686,anger,ADJ
aggressively,0.25,0.926,0.688,anger,ADV
aggressive,0.125,0.949,0.648,anger,ADJ
flammable,0.216,0.8,0.715,anger,ADJ
hostile,0.188,0.877,0.474,anger,ADJ
harrowing,0.209,0.81,0.474,anger,ADJ
arduous,0.344,0.783,0.605,anger,ADJ
hard,0.302,0.708,0.616,anger,ADV
afire,0.367,0.904,0.675,anger,ADV
affront,0.327,0.74,0.547,anger,ADJ
